"DateTime","Last Month","This Month"
"2020-02-06 06:00:00",0.98,1.58
"2020-02-06 07:00:00",0.89,0.66
"2020-02-06 08:00:00",0.78,1.13
"2020-02-06 09:00:00",0.71,0.82
"2020-02-06 10:00:00",0.81,0.68
"2020-02-06 11:00:00",0.61,0.64
"2020-02-06 12:00:00",0.62,0.61
"2020-02-06 13:00:00",0.95,0.52
"2020-02-06 14:00:00",0.73,0.54
"2020-02-06 15:00:00",1.02,0.59
"2020-02-06 16:00:00",1.12,0.82
"2020-02-06 17:00:00",0.97,0.65
"2020-02-06 18:00:00",0.79,1.75
"2020-02-06 19:00:00",0.98,1.77
"2020-02-06 20:00:00",2.46,1.77
"2020-02-06 21:00:00",3.3,1.77
"2020-02-06 22:00:00",1.03,1.52
"2020-02-06 23:00:00",0.79,0.61
"2020-02-07 00:00:00",0.68,0.67
"2020-02-07 01:00:00",0.69,0.57
"2020-02-07 02:00:00",0.78,0.54
"2020-02-07 03:00:00",0.67,0.57
"2020-02-07 04:00:00",0.8,0.63
"2020-02-07 05:00:00",1.76,1.46
"2020-02-07 06:00:00",1.59,0.9
"2020-02-07 07:00:00",0.66,0.69
"2020-02-07 08:00:00",1.49,0.57
"2020-02-07 09:00:00",1.19,0.62
"2020-02-07 10:00:00",0.73,0.52
"2020-02-07 11:00:00",0.66,0.65
"2020-02-07 12:00:00",0.86,0.62
"2020-02-07 13:00:00",0.78,0.76
"2020-02-07 14:00:00",0.73,0.66
"2020-02-07 15:00:00",0.69,0.66
"2020-02-07 16:00:00",0.67,0.77
"2020-02-07 17:00:00",0.76,0.65
"2020-02-07 18:00:00",0.87,1.19
"2020-02-07 19:00:00",1.26,2.24
"2020-02-07 20:00:00",0.9,1.47
"2020-02-07 21:00:00",1.62,1.29
"2020-02-07 22:00:00",0.79,0.75
"2020-02-07 23:00:00",0.68,0.63
"2020-02-08 00:00:00",0.66,0.65
"2020-02-08 01:00:00",0.72,1.25
"2020-02-08 02:00:00",0.99,0.59
"2020-02-08 03:00:00",0.67,0.58
"2020-02-08 04:00:00",0.59,0.61
"2020-02-08 05:00:00",1.41,0.68
"2020-02-08 06:00:00",0.81,2.78
"2020-02-08 07:00:00",0.68,1.73
"2020-02-08 08:00:00",1.6,0.83
